"","flow_metric","channel_engineering_class","Metric","Negative","Positive","Total"
"1","DS_Dur_WS","HB","ASCI_Hybrid",40,15,55
"2","DS_Dur_WS","HB","csci",62,18,80
"3","DS_Dur_WS","NAT","ASCI_Hybrid",146,129,275
"4","DS_Dur_WS","NAT","csci",239,201,440
"5","DS_Dur_WS","SB0","ASCI_Hybrid",5,14,19
"6","DS_Dur_WS","SB0","csci",6,19,25
"7","DS_Dur_WS","SB1","ASCI_Hybrid",5,16,21
"8","DS_Dur_WS","SB1","csci",5,19,24
"9","DS_Dur_WS","SB2","ASCI_Hybrid",30,16,46
"10","DS_Dur_WS","SB2","csci",35,20,55
"11","DS_Mag_50","HB","ASCI_Hybrid",23,33,56
"12","DS_Mag_50","HB","csci",33,48,81
"13","DS_Mag_50","NAT","ASCI_Hybrid",130,176,306
"14","DS_Mag_50","NAT","csci",192,280,472
"15","DS_Mag_50","SB0","ASCI_Hybrid",16,5,21
"16","DS_Mag_50","SB0","csci",17,13,30
"17","DS_Mag_50","SB1","ASCI_Hybrid",12,11,23
"18","DS_Mag_50","SB1","csci",14,12,26
"19","DS_Mag_50","SB2","ASCI_Hybrid",22,26,48
"20","DS_Mag_50","SB2","csci",26,33,59
"21","DS_Mag_90","HB","ASCI_Hybrid",19,37,56
"22","DS_Mag_90","HB","csci",28,53,81
"23","DS_Mag_90","NAT","ASCI_Hybrid",150,156,306
"24","DS_Mag_90","NAT","csci",232,240,472
"25","DS_Mag_90","SB0","ASCI_Hybrid",13,8,21
"26","DS_Mag_90","SB0","csci",13,17,30
"27","DS_Mag_90","SB1","ASCI_Hybrid",14,9,23
"28","DS_Mag_90","SB1","csci",16,10,26
"29","DS_Mag_90","SB2","ASCI_Hybrid",15,33,48
"30","DS_Mag_90","SB2","csci",18,41,59
"31","DS_Tim","HB","ASCI_Hybrid",51,5,56
"32","DS_Tim","HB","csci",74,7,81
"33","DS_Tim","NAT","ASCI_Hybrid",160,144,304
"34","DS_Tim","NAT","csci",232,237,469
"35","DS_Tim","SB0","ASCI_Hybrid",17,4,21
"36","DS_Tim","SB0","csci",23,7,30
"37","DS_Tim","SB1","ASCI_Hybrid",12,11,23
"38","DS_Tim","SB1","csci",17,9,26
"39","DS_Tim","SB2","ASCI_Hybrid",43,3,46
"40","DS_Tim","SB2","csci",51,4,55
"41","FA_Dur","HB","ASCI_Hybrid",9,13,22
"42","FA_Dur","HB","csci",18,20,38
"43","FA_Dur","NAT","ASCI_Hybrid",41,69,110
"44","FA_Dur","NAT","csci",62,117,179
"45","FA_Dur","SB0","ASCI_Hybrid",NA,2,NA
"46","FA_Dur","SB0","csci",NA,3,NA
"47","FA_Dur","SB1","ASCI_Hybrid",3,10,13
"48","FA_Dur","SB1","csci",3,9,12
"49","FA_Dur","SB2","ASCI_Hybrid",12,2,14
"50","FA_Dur","SB2","csci",14,4,18
"51","FA_Mag","HB","ASCI_Hybrid",9,13,22
"52","FA_Mag","HB","csci",13,25,38
"53","FA_Mag","NAT","ASCI_Hybrid",32,78,110
"54","FA_Mag","NAT","csci",50,129,179
"55","FA_Mag","SB0","ASCI_Hybrid",1,1,2
"56","FA_Mag","SB0","csci",1,2,3
"57","FA_Mag","SB1","ASCI_Hybrid",NA,13,NA
"58","FA_Mag","SB1","csci",NA,12,NA
"59","FA_Mag","SB2","ASCI_Hybrid",4,10,14
"60","FA_Mag","SB2","csci",6,12,18
"61","FA_Tim","HB","ASCI_Hybrid",22,NA,NA
"62","FA_Tim","HB","csci",38,NA,NA
"63","FA_Tim","NAT","ASCI_Hybrid",55,55,110
"64","FA_Tim","NAT","csci",87,92,179
"65","FA_Tim","SB0","ASCI_Hybrid",2,NA,NA
"66","FA_Tim","SB0","csci",3,NA,NA
"67","FA_Tim","SB1","ASCI_Hybrid",4,9,13
"68","FA_Tim","SB1","csci",4,8,12
"69","FA_Tim","SB2","ASCI_Hybrid",14,NA,NA
"70","FA_Tim","SB2","csci",18,NA,NA
"71","Q99","HB","ASCI_Hybrid",NA,56,NA
"72","Q99","HB","csci",NA,81,NA
"73","Q99","NAT","ASCI_Hybrid",107,199,306
"74","Q99","NAT","csci",167,305,472
"75","Q99","SB0","ASCI_Hybrid",NA,21,NA
"76","Q99","SB0","csci",NA,30,NA
"77","Q99","SB1","ASCI_Hybrid",7,16,23
"78","Q99","SB1","csci",5,21,26
"79","Q99","SB2","ASCI_Hybrid",NA,47,NA
"80","Q99","SB2","csci",NA,57,NA
"81","SP_Dur","HB","ASCI_Hybrid",49,7,56
"82","SP_Dur","HB","csci",69,12,81
"83","SP_Dur","NAT","ASCI_Hybrid",156,146,302
"84","SP_Dur","NAT","csci",217,250,467
"85","SP_Dur","SB0","ASCI_Hybrid",19,2,21
"86","SP_Dur","SB0","csci",25,5,30
"87","SP_Dur","SB1","ASCI_Hybrid",12,11,23
"88","SP_Dur","SB1","csci",17,9,26
"89","SP_Dur","SB2","ASCI_Hybrid",44,2,46
"90","SP_Dur","SB2","csci",51,4,55
"91","SP_Mag","HB","ASCI_Hybrid",3,53,56
"92","SP_Mag","HB","csci",3,78,81
"93","SP_Mag","NAT","ASCI_Hybrid",145,159,304
"94","SP_Mag","NAT","csci",228,241,469
"95","SP_Mag","SB0","ASCI_Hybrid",2,19,21
"96","SP_Mag","SB0","csci",5,25,30
"97","SP_Mag","SB1","ASCI_Hybrid",8,15,23
"98","SP_Mag","SB1","csci",6,20,26
"99","SP_Mag","SB2","ASCI_Hybrid",3,43,46
"100","SP_Mag","SB2","csci",3,52,55
"101","SP_ROC","HB","ASCI_Hybrid",22,34,56
"102","SP_ROC","HB","csci",32,49,81
"103","SP_ROC","NAT","ASCI_Hybrid",124,182,306
"104","SP_ROC","NAT","csci",216,256,472
"105","SP_ROC","SB0","ASCI_Hybrid",15,6,21
"106","SP_ROC","SB0","csci",23,7,30
"107","SP_ROC","SB1","ASCI_Hybrid",12,11,23
"108","SP_ROC","SB1","csci",10,16,26
"109","SP_ROC","SB2","ASCI_Hybrid",27,20,47
"110","SP_ROC","SB2","csci",34,23,57
"111","SP_Tim","HB","ASCI_Hybrid",18,38,56
"112","SP_Tim","HB","csci",26,55,81
"113","SP_Tim","NAT","ASCI_Hybrid",36,266,302
"114","SP_Tim","NAT","csci",60,407,467
"115","SP_Tim","SB0","ASCI_Hybrid",13,8,21
"116","SP_Tim","SB0","csci",18,12,30
"117","SP_Tim","SB1","ASCI_Hybrid",6,17,23
"118","SP_Tim","SB1","csci",6,20,26
"119","SP_Tim","SB2","ASCI_Hybrid",23,23,46
"120","SP_Tim","SB2","csci",27,28,55
"121","Wet_BFL_Dur","HB","ASCI_Hybrid",2,54,56
"122","Wet_BFL_Dur","HB","csci",4,77,81
"123","Wet_BFL_Dur","NAT","ASCI_Hybrid",63,239,302
"124","Wet_BFL_Dur","NAT","csci",112,355,467
"125","Wet_BFL_Dur","SB0","ASCI_Hybrid",13,8,21
"126","Wet_BFL_Dur","SB0","csci",14,16,30
"127","Wet_BFL_Dur","SB1","ASCI_Hybrid",3,20,23
"128","Wet_BFL_Dur","SB1","csci",3,23,26
"129","Wet_BFL_Dur","SB2","ASCI_Hybrid",12,34,46
"130","Wet_BFL_Dur","SB2","csci",14,41,55
"131","Wet_BFL_Mag_10","HB","ASCI_Hybrid",43,13,56
"132","Wet_BFL_Mag_10","HB","csci",63,18,81
"133","Wet_BFL_Mag_10","NAT","ASCI_Hybrid",128,178,306
"134","Wet_BFL_Mag_10","NAT","csci",212,260,472
"135","Wet_BFL_Mag_10","SB0","ASCI_Hybrid",17,4,21
"136","Wet_BFL_Mag_10","SB0","csci",22,8,30
"137","Wet_BFL_Mag_10","SB1","ASCI_Hybrid",16,7,23
"138","Wet_BFL_Mag_10","SB1","csci",18,8,26
"139","Wet_BFL_Mag_10","SB2","ASCI_Hybrid",32,15,47
"140","Wet_BFL_Mag_10","SB2","csci",38,19,57
"141","Wet_BFL_Mag_50","HB","ASCI_Hybrid",50,6,56
"142","Wet_BFL_Mag_50","HB","csci",74,7,81
"143","Wet_BFL_Mag_50","NAT","ASCI_Hybrid",120,186,306
"144","Wet_BFL_Mag_50","NAT","csci",194,278,472
"145","Wet_BFL_Mag_50","SB0","ASCI_Hybrid",16,5,21
"146","Wet_BFL_Mag_50","SB0","csci",17,13,30
"147","Wet_BFL_Mag_50","SB1","ASCI_Hybrid",17,6,23
"148","Wet_BFL_Mag_50","SB1","csci",19,7,26
"149","Wet_BFL_Mag_50","SB2","ASCI_Hybrid",32,15,47
"150","Wet_BFL_Mag_50","SB2","csci",39,18,57
"151","Wet_Tim","HB","ASCI_Hybrid",53,3,56
"152","Wet_Tim","HB","csci",78,3,81
"153","Wet_Tim","NAT","ASCI_Hybrid",179,123,302
"154","Wet_Tim","NAT","csci",268,199,467
"155","Wet_Tim","SB0","ASCI_Hybrid",8,13,21
"156","Wet_Tim","SB0","csci",15,15,30
"157","Wet_Tim","SB1","ASCI_Hybrid",11,12,23
"158","Wet_Tim","SB1","csci",16,10,26
"159","Wet_Tim","SB2","ASCI_Hybrid",41,5,46
"160","Wet_Tim","SB2","csci",49,6,55
